time;servicename;duration
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;5
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;3
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;5
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:09;RS_OW_AgencyDataSupplierService;5
08:00:09;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;5
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;5
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;5
08:00:10;RS_OW_AgencyDataSupplierService;6
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;5
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;3
08:00:10;RS_OW_AgencyDataSupplierService;5
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;5
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;4
08:00:10;RS_OW_AgencyDataSupplierService;10
08:00:11;RS_OW_AgencyDataSupplierService;7
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;4
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;4
08:00:11;RS_OW_AgencyDataSupplierService;4
08:00:11;RS_OW_AgencyDataSupplierService;4
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;5
08:00:11;RS_OW_AgencyDataSupplierService;5
08:00:11;RS_OW_AgencyDataSupplierService;5
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;2
08:00:11;RS_OW_AgencyDataSupplierService;2
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;3
08:00:11;RS_OW_AgencyDataSupplierService;2
